SDP Name,Revenue,Qty,Products,City
FRIENDS ENTERPRISES - AJK,73159006.4936,1041772.74,85,Friends Enterprises - Ajk
A.K. ENTERPRISES - KARACHI,73111784.82000001,31650.0,20,A.K. Enterprises - Karachi
ONE TIME BUYER,70905852.18,101763.0,245,One Time Buyer
REHMAN TRADING COMPANY,64815244.73,435877.0,121,Rehman Trading Company
HEALTH CARE ENTERPRISES,63024791.38354,826503.249,68,Health Care Enterprises
AIM DISTRIBUTOR FAISALABAD,62243100.0,1749.0,6,Aim Distributor Faisalabad
AHMAD SAEED MEDICINE DISTRIBUTORS,59949216.92,167554.0,165,Ahmad Saeed Medicine Distributors
TAURUS MEDICAL COMPANY,54491918.33,189538.0,157,Taurus Medical Company
AL-RAZZAK ENTERPRISES - KARACHI,53197960.27,21155.0,21,Al-Razzak Enterprises - Karachi
BIOMAX PHARMA - LAHORE,51900794.18,17048.0,17,Biomax Pharma - Lahore
FINE TRADERS - LAHORE,46909842.57,16161.0,18,Fine Traders - Lahore
AGA KHAN HOSPITAL & MEDICAL COLLEGE,46610518.5,5867.0,5,Aga Khan Hospital & Medical College
HAROON ENTERPRISES - PESHAWAR,43542440.55,146598.0,146,Haroon Enterprises - Peshawar
FAMOUS DISTRIBUTORS - FAISALABAD,43067678.17,19404.0,12,Famous Distributors - Faisalabad
NOVIPHARM ENTERPRISES,40968645.0,1294.0,6,Novipharm Enterprises
RAWALPINDI INSTITUTE OF CARDIOLOGY,35286549.724360004,527877.547,27,Rawalpindi Institute Of Cardiology
HOPE & HEALTH MEDICAL STORE,33130959.0,1084.0,5,Hope & Health Medical Store
PREMIER SALES PVT LTD-GWADAR,32985331.75,113846.0,83,Gwadar
PREMIER SALES PVT LTD-MITHI,29989571.96,84023.0,160,Mithi
S&T CORPORATION,28809503.4489,124996.867,38,S&T Corporation
DYNAMIC PHARMA - MULTAN,27691310.0,929.0,5,Dynamic Pharma - Multan
MED N TECH PHARMA,27041672.09429,329582.663,25,Med N Tech Pharma
S.K. DISTRIBUTOR - ISLAMABAD,26945187.89,5916.0,16,S.K. Distributor - Islamabad
DYNAMIC PHARMA - LAHORE,25644305.0,882.0,5,Dynamic Pharma - Lahore
SURGI PLUS - HYDERABAD,25255476.06,9384.0,17,Surgi Plus - Hyderabad
HEALTHLINK ENTERPRISES,25039364.54,102092.0,166,Healthlink Enterprises
Additional Director (MS&DC) DGHS,24934515.96,820302.0,6,Additional Director (Ms&Dc) Dghs
FRIENDS ENT. - FAISALABAD,23502129.356,69682.317,24,Friends Ent. - Faisalabad
MS Teaching Hosp. DG Khan,23200000.0,450.0,2,Ms Teaching Hosp. Dg Khan
ASTELA HEALTH CARE (PVT.) LTD.,22338655.0,718.0,5,Astela Health Care (Pvt.) Ltd.
TANVEER ENTERPRISES,22032530.580000002,172311.305,15,Tanveer Enterprises
PHARMEVO (PVT) LTD,21861891.84,371154.0,34,Pharmevo (Pvt) Ltd
INACTIVE - TAURAS MEDICAL COMPANY,20618399.09,92076.0,176,Inactive - Tauras Medical Company
PUNJAB UNIVERSITY,19663021.15,154334.0,61,Punjab University
