Yr,Mo,ProductName,Revenue,Units,Discount,FiscalYear
2022,8,Paridopa,4201739.754,4441.0,24660.846,FY22-23
2022,8,Phytus,1978761.1525,7066.0,123373.8475,FY22-23
2022,8,REKLAIM,567733.1910999999,1137.0,2222.1689,FY22-23
2022,8,Ramipace,24745542.698299985,60943.0,143627.83169999998,FY22-23
2022,8,Redexa,3590131.0430000015,7369.0,26958.107,FY22-23
2022,8,Retzole,2210046.75,1739.0,7178.25,FY22-23
2022,8,Revolic,1001422.7048000005,2883.0,3937.0552000000002,FY22-23
2022,8,SETSPIN,494.76,1.0,0.0,FY22-23
2022,8,SPECTRIX,238.0,2.0,0.0,FY22-23
2022,8,SPEDICAM,604564.0776000002,4774.0,2115.8424,FY22-23
2022,8,Sacvin,16637600.371299965,14928.0,119932.2387,FY22-23
2022,8,SheVit,3227984.902599998,10493.0,11833.777399999999,FY22-23
2022,8,Supercran,1571027.1948000002,5409.0,828.2052000000001,FY22-23
2022,8,Tansin,3956557.5524000144,24040.0,16818.6876,FY22-23
2022,8,Telsarta,5361635.054200005,27210.0,31729.555800000002,FY22-23
2022,8,Telsarta-A,13110470.128999988,43461.0,62783.971,FY22-23
2022,8,Telsarta-D,4763275.1989999935,13107.0,21405.400999999998,FY22-23
2022,8,Thewril,2018513.695,6800.0,4486.305,FY22-23
2022,8,Treatan,7199341.96680001,31073.0,33382.833199999994,FY22-23
2022,8,Treatan-D,1362721.6744999997,1982.0,5254.7255,FY22-23
2022,8,UFI,337914.95,824.0,1090.55,FY22-23
2022,8,UriTreat,1064852.8,1574.0,5467.2,FY22-23
2022,8,Voxamine,4097107.6799999997,13772.0,52532.82000000001,FY22-23
2022,8,X-Plended,86913161.49359965,324341.0,864237.9464,FY22-23
2022,8,Xcept,23780845.71009995,60084.0,176200.2899,FY22-23
2022,8,Xilica,7476474.304199986,28361.0,48134.7958,FY22-23
2022,8,Zibes,1796642.0353000008,18504.0,5302.1047,FY22-23
2022,8,Zilero,833377.465,1494.0,9550.535,FY22-23
2022,8,Zoltar,8231172.344600002,52886.0,4119481.7753999997,FY22-23
2022,9,AXIFER,1012139.625,1243.0,308547.875,FY22-23
2022,9,Actiflor,5107321.297599994,14204.0,25436.1424,FY22-23
2022,9,Actnise,2652918.0,10571.0,42687.0,FY22-23
2022,9,Ad Folic,7383807.746200001,29190.0,38625.4538,FY22-23
2022,9,Ad Folic OD,13409107.822499968,32292.0,80229.3375,FY22-23
2022,9,Ad-D Chewable,1122560.3178000005,5168.0,1781.3622,FY22-23
2022,9,Agoviz,2029957.335,3810.0,10297.664999999999,FY22-23
2022,9,Aireez,614945.097,1483.0,2902.903,FY22-23
2022,9,Anex-M,431303.6,1954.0,530.4,FY22-23
2022,9,Anplag,8311530.222500013,8458.0,158264.0175,FY22-23
2022,9,Arbi,4147759.568900009,15112.0,22172.7211,FY22-23
2022,9,Arbi-D,7303418.22120001,23460.0,42663.2688,FY22-23
2022,9,Avsar,66072128.009801045,206030.0,297090.21020000003,FY22-23
2022,9,Avsar Plus,21220588.418999996,69242.0,70784.111,FY22-23
2022,9,Azliv,1639526.5375,10114.0,3183.4625,FY22-23
2022,9,BD PEN NEEDLE,1098968.856,116670.0,13639.243999999999,FY22-23
2022,9,BD SYRINGE - BAG,47514746.30619995,2355384.0,1640310.2938,FY22-23
2022,9,Byvas,8013378.374900014,47721.0,30944.025100000003,FY22-23
2022,9,Dapwiz,2821025.2199999997,14557.0,21459.78,FY22-23
2022,9,Dipof,1147876.0618000005,5899.0,4685.778200000001,FY22-23
2022,9,Diu Tansin,1554765.837799997,9283.0,7377.4021999999995,FY22-23
2022,9,Duzalta,8427653.140999999,23480.0,83299.959,FY22-23
2022,9,EVOTIZER,217.95,1.0,0.0,FY22-23
2022,9,Eglaro,303711.562,892.0,976.038,FY22-23
2022,9,Eglaro-S,1065596.805,2150.0,3490.695,FY22-23
2022,9,Erli,6936685.2565,22188.0,36480.9935,FY22-23
