Material Name,2024.0,2025.0,Growth,Status
COLYSTYRENE SAC. 4G CP 1X25'S,0.0,0.0,0.0,✅ Stable
DAGIFLO TAB. 10MG CP (SLK) 2X7'S,0.0,169.0,16900.0,🚀 Growing
DAGIFLO TAB. 10MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
DAGIFLO TAB. 5MG CP (SLK) 2X7'S,0.0,924.0,92400.0,🚀 Growing
DAGIFLO TAB. 5MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
DAPWIZ PLUS XR TAB. 10/1000MG CP 2X7'S,5941455.88,7714459.36,29.841229419345627,🚀 Growing
DAPWIZ PLUS XR TAB. 10/500MG CP 2X7'S,3797854.2600000002,6683598.76,75.9835502481867,🚀 Growing
DAPWIZ PLUS XR TAB. 5/1000MG CP 2X7'S,3209853.0999999996,3586701.86,11.740374037677933,✅ Stable
DAPWIZ PLUS XR TAB. 5/500MG CP 2X7'S,7110187.350000001,11287492.190000001,58.75098129446618,🚀 Growing
DAPWIZ TAB. 10MG CP (IQ) 2X14'S,912.6,0.0,-100.0,🔴 Critical
DAPWIZ TAB. 10MG CP 1X10'S,46990251.25,57885122.37,23.185385968754524,🚀 Growing
DAPWIZ TAB. 10MG CP DGDP 1X10'S,368319.72,1194167.3699999999,224.22031869485565,🚀 Growing
DAPWIZ TAB. 5MG CP 1X10'S,17739662.39,19076212.18,7.534245920899958,✅ Stable
DAPWIZ TAB. 5MG CP MSDS INST. 100X10'S,0.0,0.0,0.0,✅ Stable
DEPLAT TAB. 75MG CP (KEN),0.0,0.0,0.0,✅ Stable
DIPOF CAP. 3/25MG CP 2X10'S,11555155.46,15010834.74,29.905952299494192,🚀 Growing
DIPOF CAP. 6/25MG CP 2X10'S,8645708.91,8575661.48,-0.8101988018470044,✅ Stable
DIU TANSIN TAB 50/12.5MG INST RIC 1X10'S,0.0,0.0,0.0,✅ Stable
DIU TANSIN TAB. 50/12.5MG CP 1X10'S,16576559.73,20273947.18,22.304914350282978,🚀 Growing
DIU TANSIN TAB. 50/12.5MG CP INST.1200'S,0.0,0.0,0.0,✅ Stable
DIU TANSIN TAB. 50/12.5MG CP MSDS 120X10,0.0,0.0,0.0,✅ Stable
