City,Revenue,Qty,SDPs
Mh International Group Llc,99221.36,56185.0,1
Itmg Sea Co. Ltd,96820.3,123462.0,1
Ratanak Pharma Co. Ltd,94481.47,57353.0,1
Ypa Enterprises Pte Ltd.,84571.08,100462.0,1
Aga Khan Health Services Pakistan,80165.45,5.0,1
Dynatis Pakistan (Pvt) Ltd,65640.0,16.0,1
Amethyst Co. Ltd,65498.55,15922.0,1
Sn International,58175.5,27509.0,1
Al-Hamd Medicare,51425.0,200.0,1
Laborex Kenya Limited,50598.47,53504.0,1
Ker Sociedad Anonima-Honduras,41259.23,42682.0,1
Sap Health Limited Company,32017.03,16690.0,1
Zesh Life Science Co. Ltd.,29542.9,63512.0,1
Energia Pharma Ltd. Kenya,27521.120000000003,47945.0,1
Prix Pharma Sh.P.K,26415.6,10257.0,1
Duoc Dai Nam Joint-Stock Co,25339.53,196810.0,1
Avari Towers,23135.6,10.0,1
Meddec Llc,22377.399999999998,87582.0,1
Globe Pharmacy Ltd.,21607.690000000002,21023.0,1
Westgate Pharmaceuticals,19253.25,4497.0,1
Sohaco Trading Joint Stock Co.,19215.06,23433.0,1
Medswana (Pty) Ltd,17113.88,14451.0,1
Energia Pharma Ltd.,14415.060000000001,15706.0,1
Weme,8664.33,9959.0,1
Hatay Pharmaceutical Joint Co.,7354.6,6686.0,1
Al-Barakah Medical Center,5750.0,3400.0,1
Yasmina Pharma Sarl,5000.0,450.0,1
Sahel Promo Sarl,4871.4,345.0,1
Harley'S Limited Burundi,3260.0,2000.0,1
Imperial Worldwide Limited,1025.7,18.0,1
Al Khidmat Welfare Society,0.0,8000.0,1
